,Rok,Miesiąc,sum_rain
349,1958,7,10518.600000000022
350,2001,11,8331.200000000028
351,2017,11,4380.899999999988
352,1965,12,9167.500000000051
353,1975,4,6692.600000000012
354,2020,8,5810.400000000006
355,2019,6,2351.9999999999995
356,1977,2,8539.200000000024
357,1968,11,6537.400000000018
358,1956,7,8570.39999999999
359,2001,9,18638.300000000017
360,2018,7,9435.40000000001
361,2019,4,2917.699999999996
362,1973,2,7119.100000000034
363,1969,3,3330.4999999999836
364,1974,8,9331.000000000004
365,1993,10,6213.300000000015
366,1961,8,13106.00000000007
367,1984,9,13183.400000000054
368,2005,6,11794.200000000003
369,2018,9,4159.2999999999965
370,1965,4,9145.900000000034
371,1962,8,12652.700000000044
372,1987,3,5979.500000000024
373,1974,12,10215.300000000028
374,2004,12,3945.7999999999824
375,2007,7,16558.10000000001
376,1994,6,9927.700000000052
377,1986,1,8857.200000000044
378,1981,11,9766.100000000002
379,2014,6,10660.700000000024
380,2006,9,5132.600000000001
381,2022,6,3307.599999999995
382,1981,2,3650.399999999979
383,1977,12,4632.099999999979
384,1955,10,3725.3999999999896
385,1952,3,2476.7999999999956
386,2018,10,3781.799999999993
387,2021,10,891.8000000000008
388,1966,1,4969.100000000003
389,1967,7,9028.600000000006
390,1979,6,9635.800000000016
391,1970,7,18989.899999999998
392,1988,1,5999.000000000005
393,1993,11,5369.300000000008
394,1990,2,6134.100000000011
395,1964,1,2410.699999999993
396,1961,12,9249.800000000047
397,1979,8,11921.500000000027
398,1968,2,3626.2999999999874
399,2003,1,6690.400000000017
400,2009,10,15260.000000000015
401,2014,4,8229.800000000017
402,2010,6,14720.500000000022
403,1991,2,4851.599999999993
404,1993,5,9356.100000000031
405,1960,9,5623.100000000001
406,2019,3,2592.2
407,2020,5,6670.300000000006
408,2022,4,2901.7999999999965
409,2020,10,6318.700000000011
410,1992,7,11821.400000000025
411,2000,6,9231.799999999997
412,1974,5,10401.800000000036
413,1959,1,4359.799999999993
414,2014,12,7192.0000000000255
415,2013,12,4050.399999999992
416,2010,4,7516.200000000017
417,1966,2,7442.200000000009
418,1967,12,8809.400000000012
419,2001,1,6195.300000000023
420,2020,1,1729.499999999997
421,1984,6,12834.90000000003
422,1956,11,4660.3
423,2017,12,3940.2999999999943
424,1977,10,2095.4999999999973
425,1970,2,5178.8
426,1958,8,9853.900000000012
427,2014,1,6241.499999999994
428,1993,7,19251.8
429,1996,10,8510.00000000001
430,1968,10,6673.299999999998
431,1954,5,4578.199999999998
432,1993,6,16536.30000000006
433,1979,2,2533.799999999999
434,1952,6,7115.40000000001
435,1963,2,4807.099999999997
436,1998,11,7620.10000000002
437,1976,1,11354.80000000005
438,1971,8,6706.100000000005
439,1955,5,5355.100000000009
440,2011,8,11172.600000000051
441,2007,10,7827.700000000026
442,2013,10,3765.3999999999883
443,2019,12,3422.799999999995
444,1978,10,8284.699999999992
445,1970,3,5561.099999999997
446,1991,9,10425.10000000003
447,1983,5,10655.300000000016
448,1967,5,9786.900000000014
449,1971,3,4122.399999999989
450,1956,3,3504.8999999999937
451,1953,9,3898.5999999999954
452,2001,2,5105.400000000002
453,2015,10,3728.6999999999975
454,1965,8,17634.200000000033
455,2001,8,12013.200000000015
456,1994,1,10676.10000000006
457,1989,2,4604.899999999979
458,1997,4,9147.000000000033
459,1976,4,3298.1999999999853
460,2013,7,8963.500000000018
461,2016,7,10672.100000000022
462,1990,3,5383.700000000003
463,1978,3,3964.4999999999895
464,1977,1,4557.7999999999865
465,1975,2,1906.0999999999965
466,2001,7,31444.899999999918
467,1982,5,7328.699999999986
468,1957,2,5231.000000000006
469,2003,3,3916.399999999988
470,2011,5,9687.800000000027
471,1972,7,11043.60000000001
472,1957,1,3075.8999999999915
473,2009,1,4928.600000000006
474,1983,6,9279.499999999993
475,1959,7,13093.100000000011
476,1956,6,10764.700000000015
477,1995,10,2363.599999999997
478,1997,6,12654.00000000005
479,1999,3,5931.5000000000055
480,1975,12,5149.099999999987
481,2021,6,3621.4999999999973
482,1980,9,7419.700000000005
483,2017,4,6624.900000000003
484,1970,1,5575.500000000002
485,1968,6,11272.100000000015
486,1971,5,8025.400000000002
487,1988,10,2669.4999999999895
488,2000,5,10565.100000000015
489,1981,4,3301.9999999999927
490,2008,9,11328.300000000025
491,2016,4,4311.399999999988
492,1997,10,11722.200000000035
493,2000,4,6898.000000000026
494,1984,4,3462.9999999999845
495,1977,6,8509.300000000014
496,2010,10,2325.799999999995
497,1963,6,10580.800000000021
498,1987,11,10098.500000000051
499,1985,9,6011.100000000013
500,1981,7,17035.80000000001
501,1954,9,3886.4999999999905
502,2021,7,6449.600000000005
503,1962,6,15447.300000000028
504,1997,1,1849.8999999999874
505,1998,1,7639.300000000017
506,1969,5,8102.100000000001
507,1971,9,6962.499999999992
508,1990,5,8633.900000000025
509,1999,1,4666.599999999982
510,1960,7,18548.90000000005
511,2002,11,6251.200000000005
512,2004,9,5608.3000000000075
513,1983,10,5208.799999999995
514,1957,6,5814.900000000004
515,2003,11,4157.29999999999
516,2021,3,1684.0999999999988
517,2021,4,3177.9999999999955
518,1988,4,3807.8999999999864
519,1985,4,7355.800000000016
520,2003,10,10217.300000000034
521,2011,11,391.90000000000003
522,2016,2,5816.300000000001
523,1989,5,11464.700000000024
524,1996,5,19680.4
525,2000,12,6865.100000000016
526,1982,2,1872.0999999999997
527,1954,12,7110.6
528,2018,1,2168.699999999999
529,1986,12,10450.200000000028
530,2000,9,8126.000000000019
531,1966,5,11265.300000000037
532,2002,1,6276.1
533,1999,2,9421.400000000014
534,1977,5,8075.500000000009
535,1973,12,4432.799999999995
536,1963,11,12617.100000000051
537,1970,8,11367.300000000001
538,2018,4,2173.099999999998
539,1993,2,6483.600000000042
540,1990,9,18615.800000000017
541,1964,11,14299.60000000004
542,1967,8,10111.90000000001
543,1969,9,2061.1999999999966
544,1978,4,6963.099999999997
545,2003,7,16421.300000000057
546,2015,6,4085.8999999999955
547,1996,2,4918.8999999999905
548,1970,12,6991.700000000004
549,1959,5,3728.699999999999
550,1956,9,4902.000000000012
551,1952,11,7267.099999999998
552,1989,11,7649.5000000000055
553,1995,3,8361.500000000033
554,1953,11,2708.799999999996
555,1966,11,7832.800000000011
556,2013,2,6386.300000000019
557,2004,5,11352.600000000039
558,1995,2,7657.000000000004
559,1970,6,9433.700000000024
560,2010,9,17247.90000000003
561,2018,8,4419.499999999997
562,1964,7,8891.200000000006
563,1964,10,11298.100000000024
564,1987,6,14816.100000000077
565,1978,1,3523.5999999999913
566,1970,4,9853.100000000026
567,1975,6,13732.60000000001
568,1952,7,3222.4999999999927
569,2008,10,9580.600000000033
570,1963,1,4781.700000000015
571,1986,9,6809.699999999992
572,1976,3,3962.899999999984
573,1988,7,16007.200000000043
574,1966,3,5385.2000000000135
575,1976,7,9784.800000000003
576,1975,9,4533.999999999998
577,2013,3,7642.500000000014
578,2008,3,9670.100000000051
579,1990,4,11108.10000000006
580,1995,8,15897.000000000038
581,1980,7,23398.099999999988
582,1966,9,4456.399999999995
583,2002,3,6119.899999999998
584,2002,2,9217.50000000002
585,2017,3,3085.199999999998
586,1958,9,6540.900000000011
587,2018,2,1696.4999999999936
588,1984,5,11891.00000000005
589,2009,6,21704.199999999968
590,2013,5,15695.900000000041
591,1964,3,6586.30000000002
592,1999,10,11141.000000000038
593,1976,10,5264.5
594,1974,11,5942.199999999998
595,1951,9,2153.800000000002
