,Rok,Miesiąc,avg_time_deszcz,avg_time_snieg,avg_time_deszcz_ze_sniegiem,avg_time_grad,avg_time_mgla,avg_time_zamglenie,avg_time_sadz,avg_time_gololedz,avg_time_zamiec_niska,avg_time_zamiec_wysoka,avg_time_zmetnienie,avg_time_wiatr_10ms,avg_time_wiatr_15ms,avg_time_burza,avg_time_rosa,avg_time_szron
25,1981,1,1.3230565838180857,4.146166049709149,0.16240084611316763,0.004970914859862507,1.8809095716552087,13.155631940772084,1.5939714436805925,0.3228979375991539,0.8670544685351665,0.5174510840824961,0.17562136435748285,1.3438921205711265,0.2461660497091486,0.002115282919090428,0.0,0.8745108408249603
26,1999,6,2.758846153846154,0.009743589743589742,0.0031410256410256414,0.001153846153846154,0.8600641025641027,5.130384615384614,0.027692307692307693,0.01730769230769231,0.0,0.0,0.02980769230769231,0.19685897435897437,0.05179487179487179,0.6645512820512819,3.8719871794871796,0.0
27,2006,7,0.47502986857825563,0.0,0.0,0.00035842293906810036,0.22700119474313013,0.9783154121863795,0.0,0.0,0.0,0.0,0.007407407407407408,0.25143369175627245,0.06804062126642772,0.32819593787335716,3.2511947431302275,0.0
28,1990,7,1.7480286738351258,0.0011264720942140297,0.0006656426011264721,0.0011264720942140297,0.48837685611879156,4.445673323092676,0.0,0.0,0.0,0.000409626216077829,0.25616999487967224,0.31274961597542245,0.08146441372247826,0.12749615975422426,3.918279569892473,0.014644137224782387
29,1961,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2014,5,2.7611708482676214,0.060872162485065724,0.010752688172043013,0.0015531660692951017,0.706152927120669,2.4314814814814816,0.17473118279569894,0.0032855436081242534,0.0,0.06666666666666667,0.0,0.4799283154121865,0.11129032258064517,0.34217443249701307,2.7663082437275985,0.11612903225806452
31,1974,9,1.7591111111111115,0.004277777777777777,0.0028888888888888883,0.00044444444444444447,1.022444444444444,8.61061111111111,0.048388888888888884,0.0028888888888888883,0.0,0.0,0.5423888888888888,0.3174444444444445,0.11638888888888889,0.04300000000000001,7.1582222222222205,0.04816666666666667
32,1966,4,2.247931034482759,0.3502873563218391,0.10747126436781611,0.003850574712643678,1.192931034482758,9.484367816091954,0.14522988505747128,0.011091954022988506,0.0,0.043793103448275854,0.422528735632184,0.32775862068965533,0.07563218390804598,0.09201149425287355,3.1245977011494253,0.5286206896551724
33,1994,4,2.7488666666666663,0.32880000000000004,0.087,0.004399999999999999,0.6582,6.1554,0.343,0.01686666666666667,0.012533333333333334,0.23679999999999998,0.4405333333333333,0.5477333333333332,0.15500000000000003,0.027,3.0811333333333333,0.7267333333333332
34,1960,4,,,,,,,,,,,,,,,,
35,2013,4,1.3453086419753086,1.5617901234567906,0.16771604938271603,0.015617283950617284,0.7958024691358027,6.176666666666667,0.3382098765432099,0.027654320987654323,0.07333333333333333,0.14487654320987653,0.06895061728395062,0.35407407407407404,0.05419753086419754,0.021049382716049378,1.8051234567901238,0.48055555555555557
36,1971,1,1.0960838389409817,1.242029784886928,0.018643132928847218,0.0029784886927744073,2.4799779371207937,14.658466629895203,2.3191395477109764,0.1344180915609487,0.17479316050744623,0.3619415333701048,0.2231660231660232,0.6261996690568118,0.2836183121897407,0.0,0.03237727523441809,2.0895752895752895
37,1984,11,1.071888888888889,0.5773888888888888,0.02466666666666667,0.019944444444444438,2.9915555555555553,12.148499999999997,0.2817777777777778,0.13755555555555554,0.10983333333333335,0.15016666666666667,0.7620555555555557,1.249444444444445,0.30961111111111106,0.005,1.686666666666667,2.2523333333333335
